Item Number,Qty 1,Price Code,USD Price Blanks,
HL-102," 	2,500 ",C,0.68,
SM-3905, 	37 ,C,4.49,
SM-3909, 	25 ,C,7.18,
SM-3911, 	12 ,C,8.98,
SM-3912, 	12 ,C,15.29,
SM-3915, 	25 ,C,7.18,
SM-3916, 	25 ,C,8.09,
SM-3919, 	50 ,C,7.64,
SM-3920, 	12 ,C,11.69,
SM-3924, 	50 ,C,3.23,
SM-3925, 	12 ,C,8.98,
SM-3926, 	12 ,C,10.79,
SM-3929, 	12 ,C,17.99,
SM-3933, 	50 ,C,2.93,
SM-3939, 	150 ,C,0.98,
SM-3944, 	75 ,C,2.33,
SM-3970, 	12 ,C,8.99,
SM-3971, 	12 ,C,11.69,
SM-3982, 	12 ,C,8.99,
SM-3985, 	62 ,C,2.69,
SM-3989, 	25 ,C,8.09,
SM-3990, 	25 ,C,4.94,
SM-3995, 	125 ,C,1.16,
SM-3997, 	100 ,C,1.16,
SM-4022, 	50 ,C,3.14,
SM-4035, 	250 ,C,0.44,
SM-4050, 	75 ,C,1.70,
SM-4070, 	250 ,C,0.38,
SM-4101, 	150 ,C,0.35,
SM-4103, 	250 ,C,0.35,
SM-4105, 	250 ,C,0.38,
SM-4109, 	250 ,C,0.38,
SM-4112, 	250 ,C,0.38,
SM-4116, 	250 ,C,0.32,
SM-4117, 	250 ,C,0.50,
SM-4118, 	150 ,C,0.35,
SM-4120, 	250 ,C,0.35,
SM-4123, 	250 ,C,0.51,
SM-4125, 	175 ,C,0.71,
SM-4127, 	150 ,C,0.81,
SM-4142, 	250 ,C,0.32,
SM-4143, 	250 ,C,0.33,
SM-4146, 	250 ,C,0.35,
SM-4148, 	250 ,C,0.50,
SM-4152, 	250 ,C,0.35,
SM-4154, 	250 ,C,0.35,
SM-4155, 	250 ,C,0.41,
SM-4157, 	250 ,C,0.31,
SM-4159, 	250 ,C,0.31,
SM-4160, 	250 ,C,0.35,
SM-4164, 	250 ,C,0.33,
SM-4165, 	250 ,C,0.23,
SM-4167, 	250 ,C,0.53,
SM-4187, 	250 ,C,0.31,
SM-4194, 	250 ,C,0.50,
SM-4198, 	250 ,C,0.31,
SM-4203, 	250 ,C,0.31,
SM-4204, 	175 ,C,0.68,
SM-4224, 	250 ,C,0.35,
SM-4225, 	200 ,C,0.59,
SM-4226, 	250 ,C,0.32,
SM-4228, 	250 ,C,0.38,
SM-4230, 	200 ,C,0.62,
SM-4231, 	250 ,C,0.44,
SM-4233, 	250 ,C,0.53,
SM-4234, 	250 ,C,0.44,
SM-4236, 	250 ,C,0.44,
SM-4238, 	250 ,C,0.44,
SM-4251, 	175 ,C,0.71,
SM-4259, 	250 ,C,0.39,
SM-4264, 	250 ,C,0.35,
SM-4268, 	250 ,C,0.16,
SM-4270, 	250 ,C,0.23,
SM-4271, 	250 ,C,0.23,
SM-4272, 	250 ,C,0.12,
SM-4274, 	250 ,C,0.17,
SM-4277, 	250 ,C,0.35,
SM-4280, 	150 ,C,0.62,
SM-4281, 	150 ,C,0.87,
SM-4283, 	250 ,C,0.18,
SM-4285, 	250 ,C,0.26,
SM-4286, 	250 ,C,0.20,
SM-4287, 	150 ,C,0.62,
