SKU,Item Name,Imprint Method,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5
9001,totes&reg; Nightlighter Cotton Cap,Image Lock,48,96,144,576,1008,11.35,10.64,9.45,9.45,9.45,C,C,C,C,C
9001,totes&reg; Nightlighter Cotton Cap,Blank,48,96,144,576,1008,8.83,8.83,8.83,8.83,8.83,C,C,C,C,C
9002,totes&reg; Nightlighter Microfiber Cap,Image Lock,48,96,144,576,1008,12.52,11.76,10.55,10.55,10.55,C,C,C,C,C
9002,totes&reg; Nightlighter Microfiber Cap,Blank,48,96,144,576,1008,9.78,9.78,9.78,9.78,9.78,C,C,C,C,C
A165331,Natural Mini Economy Tote,Screen Print,100,250,500,1000,2500,2.28,2,1.7,1.5,1.28,C,C,C,C,C
A165331,Natural Mini Economy Tote,Photo Magic,100,,,,,3.78,,,,,C,,,,
A165331,Natural Mini Economy Tote,Vivid Expressions,100,250,500,1000,2500,3.45,3.17,2.87,2.67,2.45,C,C,C,C,C
A165331,Natural Mini Economy Tote,Blank,100,250,500,1000,2500,2.05,1.77,1.47,1.27,1.05,C,C,C,C,C
A165332,Colored Mini Economy Tote,Screen Print,100,250,500,1000,2500,2.48,2.2,1.9,1.7,1.48,C,C,C,C,C
A165332,Colored Mini Economy Tote,Vivid Expressions,100,250,500,1000,2500,3.65,3.37,3.07,2.87,2.65,C,C,C,C,C
A165332,Colored Mini Economy Tote,Blank,100,250,500,1000,2500,2.25,1.97,1.67,1.47,1.25,C,C,C,C,C
A165333,Natural Magazine Economy Tote,Screen Print,100,250,500,1000,2500,2.67,2.38,2.1,1.87,1.68,C,C,C,C,C
A165333,Natural Magazine Economy Tote,Photo Magic,100,,,,,4.18,,,,,C,,,,
A165333,Natural Magazine Economy Tote,Vivid Expressions,100,250,500,1000,2500,3.83,3.55,3.27,3.03,2.85,C,C,C,C,C
A165333,Natural Magazine Economy Tote,Blank,100,250,500,1000,2500,2.43,2.15,1.87,1.63,1.45,C,C,C,C,C
A165334,Colored Magazine Economy Tote,Screen Print,100,250,500,1000,2500,3.07,2.78,2.47,2.2,2.08,C,C,C,C,C
A165334,Colored Magazine Economy Tote,Vivid Expressions,100,250,500,1000,2500,4.23,3.95,3.63,3.37,3.25,C,C,C,C,C
A165334,Colored Magazine Economy Tote,Blank,100,250,500,1000,2500,2.83,2.55,2.23,1.97,1.85,C,C,C,C,C
A165337,Natural Economy Tote,Screen Print,100,250,500,1000,2500,3.07,2.78,2.47,2.2,2.08,C,C,C,C,C
A165337,Natural Economy Tote,Photo Magic,100,,,,,4.55,,,,,C,,,,
A165337,Natural Economy Tote,Vivid Expressions,100,250,500,1000,2500,4.23,3.95,3.63,3.37,3.25,C,C,C,C,C
A165337,Natural Economy Tote,Blank,100,250,500,1000,2500,2.83,2.55,2.23,1.97,1.85,C,C,C,C,C
A165338,Colored Economy Tote,Screen Print,100,250,500,1000,2500,3.48,3.15,2.9,2.65,2.55,C,C,C,C,C
A165338,Colored Economy Tote,Embroidery,100,250,500,1000,2500,6.87,6.53,6.28,6.03,5.93,C,C,C,C,C
A165338,Colored Economy Tote,Vivid Expressions,100,250,500,1000,2500,4.65,4.32,4.07,3.82,3.72,C,C,C,C,C
A165338,Colored Economy Tote,Blank,100,250,500,1000,2500,3.25,2.92,2.67,2.42,2.32,C,C,C,C,C
A165344,Standard Boat Tote,Screen Print,50,100,250,500,1000,12.07,11.48,10.87,10.37,9.98,C,C,C,C,C
A165344,Standard Boat Tote,Embroidery,50,100,250,500,1000,15.25,14.67,14.05,13.55,13.17,C,C,C,C,C
A165344,Standard Boat Tote,Vivid Expressions,100,250,500,1000,,12.92,12.3,11.8,11.42,,C,C,C,C,
A165344,Standard Boat Tote,Blank,50,100,250,500,1000,11.47,10.88,10.27,9.77,9.38,C,C,C,C,C
A165348,Small Accent Boat Tote,Screen Print,50,100,250,500,1000,10.08,9.48,8.88,8.38,7.98,C,C,C,C,C
A165348,Small Accent Boat Tote,Embroidery,50,100,250,500,1000,13.47,12.87,12.27,11.77,11.37,C,C,C,C,C
A165348,Small Accent Boat Tote,Vivid Expressions,100,250,500,1000,,10.92,10.32,9.82,9.42,,C,C,C,C,
A165348,Small Accent Boat Tote,Blank,50,100,250,500,1000,9.48,8.88,8.28,7.78,7.38,C,C,C,C,C
A165349,Printed Small Accent Boat Tote,Screen Print,50,100,250,500,1000,11.87,11.28,10.68,10.17,9.78,C,C,C,C,C
A165349,Printed Small Accent Boat Tote,Vivid Expressions,250,500,1000,,,12.12,11.6,11.22,,,C,C,C,,
A165349,Printed Small Accent Boat Tote,Blank,50,100,250,500,1000,11.27,10.68,10.08,9.57,9.18,C,C,C,C,C
A165352,Natural Gusseted Economy Tote,Screen Print,100,250,500,1000,2500,3.48,3.15,2.9,2.65,2.55,C,C,C,C,C
A165352,Natural Gusseted Economy Tote,Photo Magic,100,,,,,4.97,,,,,C,,,,
A165352,Natural Gusseted Economy Tote,Vivid Expressions,100,250,500,1000,2500,4.65,4.32,4.07,3.82,3.72,C,C,C,C,C
